T_07,T_19,T_28,T_32,T_39,T_43,T_46,T_47,T_79,T_80,T_82,T_83,T_101,T_111,T_115,T_SC
0.6 ,2.64,5.04,17,15,0,1,1,9,0,7,5114.00 ,2.50 ,0,1,62.02
0.4 ,2.64,4.32,6,26,0,1,3,7,0,2,1056.50 ,3.50 ,0,1,65.66
0.6 ,3.52,4.32,13,30,0,4,0,5,0,2,2927.50 ,0.00 ,0,0,64.5
1.2 ,2.64,4.32,16,11,1,5,3,5,1,0,8456.00 ,107.50 ,1,1,66.35
0.4 ,0.88,4.32,6,23,0,1,2,8,0,0,5810.00 ,0.00 ,0,0,54.82
1.6 ,3.52,5.76,73,32,3,15,2,8,0,21,10601.50 ,62.50 ,1,1,82.24
1.0 ,1.76,4.32,11,29,4,2,0,8,1,1,5013.50 ,0.00 ,0,0,68.6
1.0 ,2.64,4.32,10,14,1,1,0,9,0,0,2334.50 ,0.00 ,0,0,56.67
0.4 ,2.64,4.32,9,17,0,1,5,8,0,0,1517.00 ,7.00 ,0,1,59.88
0.6 ,1.76,4.32,16,40,0,3,1,6,0,0,5264.50 ,13.50 ,0,1,65.36
1.2 ,3.52,4.32,139,16,2,8,3,4,1,97,72922.50 ,544.50 ,1,1,77.63
1.0 ,3.52,4.32,53,36,1,5,1,9,1,3,6592.50 ,40.00 ,0,1,71.29
0.4 ,2.64,4.32,10,6,0,1,2,9,1,1,14258.50 ,0.00 ,0,0,63.51
1.0 ,2.2,4.32,14,12,3,1,4,8,1,2,3513.00 ,41.50 ,0,1,60.58
1.0 ,3.52,4.32,5,11,4,2,4,8,0,6,666.00 ,6.50 ,0,1,67.08
0.4 ,1.76,4.32,20,11,0,2,0,9,0,0,20759.00 ,0.00 ,0,0,57.85
0.4 ,2.64,4.32,6,5,0,1,0,8,0,0,2893.50 ,0.00 ,0,0,56.05
0.4 ,0.88,4.32,8,9,0,1,1,7,0,0,7844.50 ,0.00 ,0,0,56.11
1.0 ,2.64,4.32,11,5,3,5,1,7,0,3,2209.00 ,30.00 ,0,1,63.17
1.4 ,2.64,4.32,10,31,3,5,3,7,1,6,7645.50 ,135.50 ,1,1,73.55
0.4 ,2.64,5.76,4,17,0,1,0,8,0,0,4572.00 ,0.00 ,0,0,62.9
0.6 ,1.76,4.32,4,6,0,2,1,9,0,0,4755.00 ,2.00 ,0,1,53.81
0.6 ,0.88,4.32,9,18,0,3,2,6,0,1,1405.50 ,0.00 ,0,0,60.11
1.0 ,2.64,4.32,25,19,0,2,4,7,1,2,1233.50 ,0.00 ,0,0,60.6
1.0 ,2.64,5.76,22,17,4,3,1,8,0,0,5106.50 ,185.50 ,0,1,68.2
0.4 ,1.76,4.32,14,4,0,1,0,7,0,0,6098.50 ,0.00 ,0,0,54.66
0.6 ,1.76,4.32,10,6,0,3,5,8,0,2,1748.50 ,0.00 ,0,0,56.85
0.4 ,1.76,2.88,12,14,0,1,0,7,0,1,681.50 ,0.00 ,0,0,52.59
0.4 ,2.64,4.32,12,34,0,2,1,9,0,0,638.00 ,0.00 ,0,0,67.92
1.8 ,2.64,4.32,80,31,4,5,1,9,0,1,36440.50 ,0.00 ,1,0,72.04
0.8 ,2.64,4.32,17,24,0,2,3,8,0,1,2271.50 ,0.00 ,0,0,64.9
1.2 ,3.52,4.32,87,23,2,7,1,9,0,29,23273.00 ,85.00 ,1,1,74.9
0.4 ,2.64,5.76,12,13,0,1,1,9,0,0,1227.00 ,0.00 ,0,0,60.31
1.4 ,3.52,5.76,62,22,3,18,6,8,1,61,17698.00 ,996.00 ,1,1,77.92
1.8 ,3.52,5.76,6,17,5,2,2,9,1,11,355.00 ,1.00 ,1,1,74.81
0.6 ,1.76,4.32,5,17,0,4,1,7,0,0,657.50 ,0.00 ,0,0,61.01
0.6 ,2.64,4.32,9,7,0,4,2,7,1,3,851.00 ,20.00 ,0,1,57.58
0.6 ,2.64,3.6,12,5,0,4,0,7,0,5,4847.00 ,0.00 ,0,0,52.16
1.8 ,2.64,4.32,79,34,5,6,2,8,1,9,12282.00 ,0.00 ,1,1,66.34
1.0 ,2.64,4.32,4,14,2,2,0,8,0,2,5094.00 ,91.50 ,0,1,58.56
1.0 ,2.64,4.32,40,25,3,2,3,9,1,5,5225.50 ,208.00 ,0,1,65.26
1.2 ,3.52,6.48,4,6,0,3,1,4,1,2,2262.50 ,0.00 ,1,0,63.08
0.4 ,1.76,4.32,7,25,0,1,0,8,0,1,1167.00 ,1.50 ,0,1,55.08
0.6 ,2.64,4.32,4,21,0,2,0,8,0,3,1922.50 ,0.00 ,0,0,63.05
0.4 ,2.64,4.32,5,19,0,1,0,6,0,0,1048.50 ,0.00 ,0,0,57.68
0.6 ,1.76,4.32,10,32,0,2,0,7,0,0,13734.50 ,0.00 ,0,1,61.35
0.4 ,1.76,4.32,28,32,0,1,0,9,0,0,5833.00 ,0.00 ,0,0,62.17
1.4 ,0.88,4.32,9,11,3,3,1,6,1,0,1183.00 ,0.00 ,1,0,51.26
0.4 ,2.64,4.32,15,33,0,1,0,8,0,0,1083.50 ,0.00 ,0,0,56.26
1.8 ,2.64,5.76,31,24,5,6,1,8,1,157,12523.00 ,227.50 ,1,1,73.04
0.4 ,1.76,4.32,7,17,0,1,0,3,0,0,1646.00 ,0.00 ,0,0,54.84
1.2 ,3.52,5.76,35,14,2,3,2,5,1,6,11334.50 ,158.50 ,1,1,72.48
1.2 ,3.52,5.76,9,9,0,4,0,6,0,1,6517.50 ,27.00 ,1,1,62.99
0.4 ,0.88,4.32,6,22,0,1,0,5,0,0,3508.50 ,0.00 ,0,0,51.21
0.4 ,2.64,4.32,33,34,0,1,0,8,0,1,2024.00 ,0.00 ,0,0,64.73
0.6 ,2.64,5.76,6,22,0,4,0,9,0,1,1562.50 ,0.00 ,0,0,62.27
0.4 ,1.76,4.32,3,26,0,1,0,8,0,0,3712.00 ,0.00 ,0,0,54.72
0.4 ,2.64,4.32,20,8,0,2,0,7,0,0,11104.50 ,0.00 ,0,0,55.08
1.0 ,1.76,4.32,54,24,3,11,0,6,0,0,138668.50 ,535.00 ,0,1,65.15
0.6 ,1.76,4.32,8,19,0,3,0,8,0,0,4876.00 ,0.00 ,0,0,51.59
0.4 ,2.64,4.32,10,17,0,2,0,6,0,0,3831.50 ,0.00 ,0,0,58.74
0.6 ,2.64,4.32,17,23,0,1,0,7,0,0,1625.50 ,0.00 ,0,0,59.04
0.4 ,2.64,4.32,6,17,0,1,0,7,0,1,2810.00 ,0.00 ,0,0,57.54
1.8 ,2.64,5.76,20,16,5,3,0,9,0,0,6748.50 ,0.00 ,1,0,62.56
0.6 ,1.76,4.32,3,18,0,1,0,8,0,0,2332.50 ,0.00 ,0,0,54.23
0.8 ,2.64,4.32,28,20,0,3,1,9,0,2,17957.50 ,0.00 ,0,0,60.34
1.2 ,2.64,5.76,65,25,6,4,0,8,0,3,88424.00 ,808.00 ,0,1,72.23
0.4 ,3.52,4.32,9,22,0,1,0,9,0,5,3443.50 ,0.00 ,0,0,62.52
0.6 ,2.64,4.32,7,28,0,2,0,7,0,7,1441.00 ,0.00 ,0,0,61.06
1.4 ,1.76,4.32,16,27,3,3,1,7,1,0,2368.00 ,455.00 ,1,1,63.82
0.2 ,2.2,4.32,8,15,0,0,0,7,0,3,274.50 ,0.00 ,0,1,49.55
0.4 ,2.64,4.32,4,14,0,1,0,5,0,0,3290.50 ,0.00 ,0,0,52.05
1.0 ,3.52,5.76,9,16,1,2,1,5,1,5,6209.00 ,34.00 ,0,1,62.64
1.2 ,2.64,5.76,17,24,0,12,1,4,1,4,11359.00 ,65.50 ,1,1,66.13
1.2 ,3.52,5.76,18,6,1,4,1,9,1,12,2285.50 ,0.00 ,1,0,59.32
1.0 ,3.52,4.32,10,5,3,2,2,8,0,5,1678.00 ,0.00 ,0,1,54.29
1.0 ,0.88,4.32,5,21,4,1,0,7,0,7,1798.00 ,86.00 ,0,1,56.29
1.0 ,3.52,5.76,8,42,1,6,1,9,1,25,3246.50 ,17.50 ,0,1,74.38
0.4 ,2.64,4.32,6,13,0,1,0,5,0,0,1193.00 ,0.00 ,0,0,53.63
0.4 ,2.64,4.32,7,16,0,1,2,6,0,0,1411.50 ,0.00 ,0,0,52.55
0.6 ,2.64,4.32,6,23,0,2,0,5,0,3,1878.00 ,0.00 ,0,0,60.35
0.4 ,2.64,4.32,16,16,0,1,0,9,0,0,2813.00 ,0.00 ,0,0,60.89
1.0 ,2.64,4.32,16,23,4,2,0,9,0,0,1887.00 ,0.00 ,0,0,53.31
1.2 ,2.64,5.76,46,30,2,4,5,7,1,4,7895.50 ,183.00 ,1,1,73.18
0.8 ,1.76,4.32,11,27,0,2,0,7,0,0,2271.50 ,0.00 ,0,0,62.37
0.8 ,2.64,4.32,6,20,0,2,0,8,0,1,1972.50 ,0.00 ,0,0,62.23
0.6 ,1.76,5.76,10,27,0,2,0,8,0,0,2967.00 ,0.00 ,0,0,65.75
1.8 ,2.64,4.32,24,11,5,4,0,9,0,11,29376.00 ,140.50 ,1,1,65.89
1.2 ,2.64,4.32,19,17,6,3,0,9,0,0,3725.50 ,14.00 ,0,1,60.58
1.8 ,2.64,2.88,3,23,6,3,0,9,0,0,1044.50 ,0.00 ,1,0,61.2
1.0 ,3.52,5.76,33,22,2,3,0,9,0,1,5933.00 ,71.50 ,0,1,72.36
1.8 ,2.64,5.76,22,24,4,3,0,8,0,3,5445.00 ,103.50 ,1,1,74.43
0.8 ,2.64,5.76,49,57,0,4,0,5,0,0,6109.00 ,111.00 ,0,1,70.75
0.4 ,1.76,4.32,5,4,0,1,0,7,0,0,5138.00 ,0.00 ,0,0,54.72
0.6 ,2.64,5.76,10,34,0,4,1,7,0,0,1287.50 ,73.00 ,0,1,70.37
1.8 ,3.52,5.76,13,6,4,4,2,9,1,1,3673.50 ,80.00 ,1,1,64.33
0.4 ,1.76,2.88,13,10,0,2,0,4,0,10,4669.00 ,318.00 ,0,1,50.53
1.8 ,3.52,5.76,31,21,6,5,4,8,1,22,719.50 ,276.00 ,1,1,80.86
1.4 ,2.64,5.76,50,14,4,5,2,7,1,0,7822.50 ,0.00 ,1,0,69.72
0.4 ,1.76,4.32,4,22,0,1,0,8,0,0,1955.50 ,0.00 ,0,0,60.36
1.2 ,2.64,4.32,28,12,2,5,2,6,1,2,5272.50 ,55.00 ,1,1,54.87
1.0 ,3.52,4.32,12,9,4,3,2,6,1,3,4693.00 ,48.50 ,0,1,57.04
0.4 ,1.76,4.32,11,27,0,2,0,6,0,0,4913.50 ,0.00 ,0,0,60.84
0.4 ,0.88,4.32,9,4,0,2,0,6,0,0,4362.00 ,0.00 ,0,0,50.4
0.6 ,2.64,5.76,9,46,0,1,0,7,0,1,6664.50 ,0.00 ,0,0,64.86
0.6 ,2.64,5.76,4,28,0,3,0,6,0,3,615.50 ,142.50 ,0,1,59.92
1.8 ,1.76,5.76,17,8,5,4,1,8,1,27,3523.50 ,455.50 ,1,1,64.1
1.4 ,4.4,5.76,207,20,3,14,3,5,1,47,53316.50 ,234.00 ,1,1,85.55
0.8 ,2.64,4.32,4,27,0,2,0,8,0,0,909.50 ,0.00 ,0,0,63.66
0.6 ,2.64,4.32,7,2,0,2,0,12,0,0,0.00 ,67.50 ,0,1,62.3
1.8 ,3.52,5.76,11,12,5,2,2,8,1,2,1711.00 ,60.00 ,1,1,70
0.4 ,1.76,4.32,4,3,0,1,0,6,0,1,81.00 ,0.00 ,0,0,52.71
1.4 ,3.52,4.32,174,32,3,1,4,9,1,35,88294.00 ,253.50 ,1,1,73.1
0.4 ,2.64,4.32,7,10,0,1,0,6,0,0,378.00 ,0.00 ,0,0,58.69
1.2 ,1.76,4.32,5,25,5,1,0,9,0,0,908.50 ,0.00 ,0,1,63.69
0.8 ,2.64,4.32,14,9,0,2,0,9,0,3,1386.00 ,199.50 ,0,1,57.17
1.4 ,2.64,4.32,76,5,4,11,1,7,1,5,31557.50 ,58.00 ,1,1,64.27
0.2 ,1.76,4.32,6,20,0,0,0,7,0,0,929.50 ,0.00 ,0,0,52.95
0.4 ,2.64,4.32,10,20,0,2,0,9,0,1,4641.50 ,0.00 ,0,0,64.2
0.4 ,0.88,2.88,12,27,0,1,0,9,0,0,2335.00 ,0.00 ,0,0,52.47
0.4 ,2.64,4.32,5,12,0,1,0,9,0,0,1952.00 ,0.00 ,0,0,57.11
1.8 ,2.64,5.76,12,16,4,3,1,7,1,0,3254.50 ,0.00 ,1,1,65.99
1.2 ,3.52,5.76,27,36,1,5,4,6,1,12,3070.50 ,0.00 ,1,0,76.03
0.8 ,2.64,4.32,13,16,0,4,1,9,0,1,7068.00 ,0.00 ,0,0,63.34
1.0 ,2.64,4.32,6,4,3,2,0,7,0,0,1077.50 ,12.50 ,0,1,58.88
1.8 ,3.52,4.32,13,20,5,3,2,9,0,2,3085.00 ,0.00 ,1,0,74.65
1.8 ,4.4,4.32,6,28,5,3,1,9,1,3,261.50 ,0.00 ,1,0,75.35
1.2 ,4.4,5.76,24,5,2,12,1,7,1,2,21.00 ,101.00 ,1,1,74.17
1.8 ,3.52,4.32,54,5,5,46,1,8,1,6,1.00 ,5146.50 ,1,1,69.14
0.4 ,2.64,4.32,4,7,0,1,0,7,1,8,1958.50 ,0.00 ,0,0,59.92
1.4 ,4.4,5.76,25,21,4,8,3,9,1,9,2797.00 ,287.00 ,1,1,82.28
1.2 ,3.52,4.32,20,19,2,4,4,6,0,4,7958.00 ,2.50 ,1,1,67.35
1.0 ,2.64,4.32,8,17,3,2,0,8,0,0,4425.50 ,116.50 ,0,1,65.91
0.6 ,1.76,4.32,7,22,0,2,0,8,0,0,1142.50 ,0.00 ,0,0,59.94
0.4 ,1.76,3.6,5,5,0,1,0,7,0,0,10941.50 ,0.00 ,0,0,50.44
0.8 ,2.64,4.32,5,26,0,2,0,3,0,1,2584.00 ,0.00 ,0,0,73.05
1.4 ,2.64,4.32,6,21,3,1,0,7,0,1,1840.50 ,0.00 ,1,0,57.5
0.4 ,2.64,4.32,67,27,0,4,0,8,0,0,16462.00 ,0.00 ,0,0,63.65
0.4 ,1.76,2.88,24,32,0,2,0,8,0,0,6239.50 ,0.00 ,0,0,56.91
1.0 ,2.64,4.32,4,23,3,2,1,8,1,5,873.00 ,28.50 ,0,1,63.66
0.4 ,1.76,4.32,2,1,0,1,0,3,0,0,2098.50 ,0.00 ,0,0,51.95
1.0 ,2.64,4.32,8,25,3,2,0,6,0,0,4333.50 ,0.00 ,0,0,62.04
1.4 ,1.76,4.32,10,16,4,2,1,7,1,6,2255.00 ,35.00 ,1,1,54.66
1.2 ,2.64,5.76,22,32,2,4,3,6,0,4,9708.00 ,136.50 ,1,1,78.05
1.2 ,2.64,4.32,8,11,2,2,1,6,1,0,1252.00 ,35.50 ,1,1,62.76
0.4 ,2.64,4.32,3,10,0,1,0,8,0,1,42.50 ,0.00 ,0,0,52.67
0.6 ,1.76,4.32,6,8,0,3,0,6,0,0,2802.00 ,0.00 ,0,0,55.02
1.4 ,2.64,4.32,24,23,4,2,2,7,1,6,14273.00 ,0.00 ,1,0,60.39
1.8 ,2.64,5.76,13,22,4,2,1,9,1,3,731.00 ,96.50 ,1,1,68.21
0.4 ,2.64,4.32,11,30,0,1,0,4,0,3,3748.50 ,0.00 ,0,0,60.38
0.6 ,2.64,5.76,6,14,0,2,0,7,0,1,1819.00 ,0.00 ,0,0,59.12
0.4 ,2.64,4.32,26,11,0,1,0,8,0,0,2926.50 ,0.00 ,0,0,57.22
0.4 ,2.2,5.04,5,9,0,2,0,9,0,0,876.50 ,0.00 ,0,0,58.22
1.2 ,1.76,4.32,28,34,2,5,0,6,0,0,8242.00 ,0.00 ,1,0,68.89
1.0 ,3.52,5.76,10,10,0,2,1,5,1,6,776.50 ,0.00 ,0,0,58.35
0.4 ,1.76,4.32,9,6,0,1,1,7,0,0,3666.00 ,1.50 ,0,1,52.13
0.4 ,2.64,4.32,7,29,0,1,0,7,0,0,1283.00 ,0.00 ,0,0,56.68
1.0 ,3.52,5.76,101,9,1,6,0,7,0,0,38914.00 ,0.00 ,0,1,61.86
0.6 ,4.4,5.76,10,19,0,5,0,7,0,5,3800.00 ,0.00 ,0,0,72.69
1.0 ,3.52,5.76,12,10,3,3,3,7,0,5,2449.00 ,28.00 ,0,1,62.99
1.0 ,3.52,4.32,27,20,4,4,0,8,0,3,1406.50 ,2.50 ,0,1,65.01
0.4 ,2.64,4.32,19,21,0,2,0,6,0,0,2674.50 ,0.00 ,0,0,62.08
0.4 ,1.76,4.32,5,22,0,1,0,6,0,0,4159.00 ,0.00 ,0,0,57.18
0.6 ,2.64,4.32,13,26,0,2,0,7,0,1,1230.50 ,0.00 ,0,0,63.75
0.6 ,2.64,5.76,9,7,0,2,4,9,0,0,6229.00 ,15.50 ,0,1,62.95
1.2 ,3.52,5.76,142,30,2,7,4,8,0,2,96900.50 ,218.00 ,1,1,75.86
0.6 ,2.64,4.32,7,32,0,5,0,9,0,0,3121.50 ,0.00 ,0,0,68.14
0.6 ,2.64,6.48,4,20,0,1,0,5,0,0,1046.00 ,0.00 ,0,0,64.49
1.2 ,3.52,4.32,15,39,6,3,2,9,1,2,3461.50 ,46.50 ,0,1,68.99
0.8 ,1.76,4.32,6,32,0,2,0,7,0,0,1841.50 ,0.00 ,0,0,58.91
0.4 ,1.76,4.32,5,12,0,1,3,9,0,1,2542.00 ,0.00 ,0,0,52.6
0.4 ,2.64,4.32,12,12,0,1,1,8,0,0,8740.00 ,0.00 ,0,0,60.45
0.6 ,2.64,5.76,8,16,0,3,0,8,0,0,7230.50 ,0.00 ,0,0,61.57
0.4 ,2.64,4.32,8,40,0,2,0,7,0,0,2304.50 ,0.00 ,0,0,61.72
0.4 ,3.08,5.76,32,31,0,2,0,5,0,1,33299.50 ,0.00 ,0,0,72.09
1.0 ,2.64,4.32,14,29,2,1,0,8,0,1,5262.00 ,46.50 ,0,1,58.73
1.0 ,3.52,5.76,3,17,2,2,0,7,0,2,337.00 ,0.00 ,0,0,70.43
0.4 ,2.64,4.32,6,26,0,1,0,8,0,0,1277.50 ,0.00 ,0,0,58.53
0.8 ,2.64,4.32,11,28,0,4,0,6,0,0,1487.50 ,0.00 ,0,0,62.47
0.4 ,2.64,4.32,17,26,0,1,0,8,0,0,1989.50 ,0.00 ,0,0,57.96
0.4 ,1.76,4.32,9,29,0,1,1,5,0,0,3077.00 ,0.00 ,0,0,67.09
1.0 ,2.64,4.32,6,23,0,1,2,8,1,1,986.50 ,49.50 ,0,1,61.35
0.6 ,1.76,5.76,10,23,0,2,0,6,0,0,3353.00 ,0.00 ,0,0,60.77
0.4 ,2.64,4.32,6,32,0,1,0,5,0,0,1924.00 ,0.00 ,0,0,58.17
0.4 ,0.88,4.32,11,9,0,4,1,5,0,0,6971.50 ,0.00 ,0,0,53.03
1.2 ,2.64,5.76,12,15,0,4,0,6,0,0,2066.50 ,0.00 ,1,0,66.98
0.6 ,2.64,4.32,13,29,0,1,0,5,0,0,1348.00 ,0.00 ,0,0,63.43
1.4 ,3.52,4.32,4,3,3,3,2,6,1,9,621.50 ,53.50 ,1,1,59.61
0.6 ,3.52,4.32,16,44,0,2,0,7,0,1,1538.00 ,0.00 ,0,0,67.78
0.4 ,0.88,4.32,7,24,0,1,0,7,0,0,1728.00 ,0.00 ,0,0,58.05
1.2 ,2.64,4.32,21,41,2,4,2,5,1,2,4240.50 ,19.50 ,1,1,67.98
1.4 ,3.52,5.76,17,33,4,6,3,7,0,1,6536.00 ,0.00 ,1,0,72.62
1.0 ,2.64,4.32,16,17,4,1,2,8,1,9,6502.50 ,3.00 ,0,1,58.96
0.8 ,3.52,5.76,32,20,0,4,4,5,1,2,5153.00 ,35.50 ,0,1,70.82
0.4 ,2.64,4.32,5,34,0,1,0,8,0,0,776.50 ,0.00 ,0,0,65.48
0.8 ,3.52,4.32,9,19,0,4,1,8,1,9,4884.00 ,11.00 ,0,1,65.45
0.4 ,2.64,4.32,5,36,0,1,0,7,0,0,683.50 ,0.50 ,0,1,67.48
0.4 ,1.76,4.32,22,37,0,1,1,8,0,0,3539.50 ,0.00 ,0,0,66.21
0.6 ,2.64,4.32,5,27,0,2,0,6,0,0,260.00 ,22.00 ,0,1,66.09
1.0 ,3.52,4.32,8,34,0,4,1,9,1,2,2061.50 ,7.00 ,0,1,72.89
0.6 ,3.52,4.32,6,28,0,2,0,6,0,1,845.50 ,0.00 ,0,0,65.89
0.8 ,2.64,4.32,29,19,0,4,4,6,1,2,4855.50 ,32.00 ,0,1,63.18
0.4 ,1.76,4.32,8,22,0,2,0,6,0,0,1172.50 ,0.00 ,0,0,63.41
1.0 ,2.64,5.76,16,16,1,5,0,8,0,0,5897.50 ,113.50 ,0,1,70.06
0.4 ,2.64,4.32,11,29,0,1,0,8,0,0,1549.50 ,0.00 ,0,0,68.22
1.0 ,3.52,4.32,30,30,1,3,1,7,1,1,7759.00 ,0.00 ,0,0,64.1
0.8 ,3.52,5.76,15,26,0,3,3,8,1,11,3416.00 ,0.00 ,0,0,73.09
0.4 ,2.64,4.32,8,26,0,2,0,7,0,0,1258.00 ,0.00 ,0,0,67.01
1.0 ,3.52,5.76,28,11,0,5,4,5,1,2,5258.00 ,0.00 ,0,0,66.7
1.2 ,3.52,4.32,99,27,7,6,4,6,1,1,73568.50 ,14.00 ,0,1,75.38
1.0 ,3.08,4.32,6,18,1,2,0,6,0,1,1695.50 ,2.50 ,0,1,65.55
1.2 ,3.52,4.32,34,24,1,4,0,7,0,1,4030.50 ,0.00 ,1,0,73.02
1.0 ,4.4,5.76,11,16,3,4,1,8,1,7,2924.50 ,92.50 ,0,1,76.52
0.8 ,2.64,5.76,9,18,0,7,0,8,0,0,661.50 ,0.00 ,0,0,63.05
1.0 ,2.64,4.32,16,26,1,1,0,8,0,0,2159.50 ,45.50 ,0,1,59.96
1.2 ,3.52,5.76,17,18,2,5,4,7,1,9,4157.50 ,68.50 ,1,1,70.33
0.4 ,3.52,5.76,10,10,0,1,4,6,1,6,44348.50 ,193.00 ,0,1,65.81
0.4 ,2.64,4.32,9,17,0,1,0,7,0,0,5086.50 ,0.00 ,0,0,65.25
1.0 ,2.64,4.32,6,13,2,1,1,5,1,1,591.50 ,0.00 ,0,0,57.55
1.4 ,3.52,4.32,9,26,3,3,3,7,1,2,2124.00 ,161.50 ,1,1,69.99
1.4 ,2.64,5.76,6,23,4,3,1,8,1,2,1512.50 ,0.00 ,1,0,64.74
0.8 ,2.64,4.32,5,20,0,2,0,7,0,2,3923.00 ,0.00 ,0,0,62.07
0.4 ,2.64,4.32,24,30,0,2,0,8,0,1,7884.50 ,0.00 ,0,1,67.29
1.8 ,3.52,4.32,3,24,5,1,0,9,0,1,1151.00 ,156.00 ,1,1,60.85
0.6 ,2.64,4.32,11,22,0,2,0,7,0,0,951.50 ,0.00 ,0,0,62.25
0.4 ,2.64,4.32,20,27,0,1,0,7,0,0,3217.50 ,0.00 ,0,0,65.19
1.2 ,1.76,4.32,9,17,6,2,0,8,0,0,1438.00 ,122.00 ,0,1,64.58
1.8 ,3.52,4.32,10,17,6,5,4,8,0,0,2572.50 ,211.00 ,1,1,67.03
1.2 ,3.52,5.76,12,21,2,7,1,5,1,3,1991.50 ,210.00 ,1,1,75.15
1.2 ,2.64,4.32,6,7,0,1,1,5,1,2,3094.50 ,0.00 ,1,0,57.86
1.4 ,2.64,4.32,20,25,3,6,1,6,1,2,5687.50 ,291.00 ,1,1,63.73
0.6 ,2.64,4.32,45,36,0,2,0,6,0,0,5457.50 ,0.00 ,0,0,62.37
1.0 ,3.52,4.32,7,21,3,4,0,9,0,5,680.50 ,0.00 ,0,0,63.44
0.6 ,2.64,5.76,10,21,0,3,0,8,0,0,2190.50 ,0.00 ,0,0,64.34
0.6 ,2.64,4.32,26,16,0,5,0,7,0,0,10733.00 ,2.50 ,0,1,54.41
1.4 ,3.52,5.76,30,28,3,4,1,8,1,8,2418.50 ,0.00 ,1,1,77.16
1.2 ,3.52,5.76,23,28,2,4,0,7,0,1,4159.00 ,555.50 ,1,1,79.64
1.2 ,3.52,4.32,5,7,1,3,6,7,1,7,737.50 ,93.00 ,1,1,64.49
0.6 ,2.64,4.32,5,18,0,3,0,8,0,0,665.50 ,0.00 ,0,0,65.44
1.8 ,3.52,5.76,9,23,5,3,2,8,1,2,486.50 ,218.00 ,1,1,74.62
1.8 ,2.64,5.76,19,13,4,2,3,8,1,1,1230.00 ,6.50 ,1,1,63.62
1.2 ,3.52,5.76,26,27,1,5,2,3,1,8,13661.50 ,74.50 ,1,1,77.73
1.0 ,2.64,4.32,7,4,2,3,0,8,0,1,4910.50 ,56.00 ,0,1,55.43
0.4 ,2.64,5.76,19,13,0,2,0,7,0,0,5601.50 ,0.00 ,0,0,64.21
0.6 ,2.64,4.32,7,8,0,4,0,8,0,0,714.00 ,0.00 ,0,0,57.36
0.4 ,2.64,4.32,5,26,0,1,0,8,0,0,1177.00 ,0.00 ,0,0,62.48
1.8 ,3.52,4.32,14,25,5,3,1,8,1,1,2469.00 ,143.00 ,1,1,69.36
1.8 ,3.52,4.32,29,17,4,8,2,8,1,18,10456.50 ,1137.00 ,1,1,68.99
1.4 ,2.64,4.32,12,17,3,5,0,7,0,2,3159.50 ,150.50 ,1,1,64.72
1.2 ,2.64,5.76,20,33,2,3,0,6,0,0,4969.00 ,73.00 ,1,1,68.58
1.0 ,2.2,4.32,60,29,2,4,4,8,1,0,17366.00 ,110.00 ,0,1,68.67
1.4 ,2.64,5.76,15,19,3,3,1,7,1,1,5834.50 ,166.50 ,1,1,72.97
0.8 ,1.76,2.88,7,9,0,3,1,7,1,0,868.50 ,35.00 ,0,1,56.19
0.4 ,3.52,4.32,5,13,0,1,0,8,0,10,3226.50 ,0.00 ,0,1,54.27
1.2 ,3.52,4.32,5,21,2,2,1,6,1,8,1133.50 ,45.00 ,1,1,61.95
0.6 ,2.64,4.32,5,26,0,2,0,4,0,0,622.50 ,0.00 ,0,0,61.89
1.4 ,2.2,5.76,15,12,3,3,4,7,1,1,10100.50 ,117.50 ,1,1,69.69
1.8 ,3.52,5.76,17,23,4,7,1,8,1,19,233.00 ,230.00 ,1,1,72.1
